date,vendor,brand,category,directions_awareness_total_awareness_net_mentions,directions_awareness_unaided_awareness_net_mentions,directions_brand_attributes_always_seems_to_be_doing_something_new_mean,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_mean_inverse,directions_brand_attributes_creates_excitement_and_eagerness_at_mealtime_mean,directions_brand_attributes_creates_playful_moments_with_my_cat_mean,directions_brand_attributes_has_a_taste_my_cat_enjoys_mean,directions_brand_attributes_has_a_taste_my_dog_enjoys_mean,directions_brand_attributes_has_craveable_treats_that_my_cat_comes_running_for_mean,directions_brand_attributes_has_treats_i_could_feed_my_dog_everyday_mean,directions_brand_attributes_has_treats_that_contain_wholesome_ingredients_mean,directions_brand_attributes_helps_me_connect_with_my_dog_mean,directions_brand_attributes_is_a_brand_i_do_not_trust_to_feed_to_my_pet_mean_inverse,directions_brand_attributes_is_a_brand_i_trust_more_than_others_mean,directions_brand_attributes_is_a_brand_i_would_pay_more_for_mean,directions_brand_attributes_is_a_brand_that_is_gaining_in_popularity_mean,directions_brand_attributes_is_a_very_good_value_for_the_money_mean,directions_brand_attributes_is_available_in_different_forms_for_different_occasions_mean,directions_brand_attributes_is_easy_to_find_and_buy_mean,directions_brand_attributes_is_often_available_on_promotion_or_deal_mean,directions_brand_attributes_is_too_cheap_to_be_of_acceptable_quality_mean_inverse,directions_brand_attributes_offers_a_flavors_that_appeals_to_my_dogs_taste_mean,directions_brand_attributes_offers_products_that_contain_real_natural_ingredients_mean,directions_brand_attributes_provides_all_the_variety_my_cat_wants_mean,directions_brand_attributes_understands_the_relationship_between_me_and_my_cat_mean,directions_brand_attributes_understands_the_relationship_between_me_and_my_dog_mean,directions_brand_consideration_one_of_many_brands_i_would_consider_buying_net,directions_brand_consideration_the_only_brand_i_would_consider_buying_net,directions_funnel_metrics_advocacy_t2b_buyers,directions_future_purchase_intent_definitely_would_buy_net,directions_future_purchase_intent_probably_would_buy_net,directions_positive_brand_trust,directions_strategic_measures_brand_interest_index,directions_strategic_measures_brand_love_index,directions_strategic_measures_brand_loyalty_index,neilsen_panel_value_per_occasion,ratings_reviews_good_experience_percentage,ratings_reviews_positive_ratings_percentage,ratings_reviews_review_rating_average,ratings_reviews_review_sentiment_score_average,ratings_reviews_review_sentiment_score_health_benefits,ratings_reviews_review_sentiment_score_ingredients,ratings_reviews_review_sentiment_score_pet_enjoyment,ratings_reviews_review_sentiment_score_value_for_the_money,search_searchvolume_share,social_percent_positive_neutral,social_share_of_total_buzz_post,market_share
2022-08-06,vendor_1,brand_1,category_1,0.847028672,0.1212013685,,0.3215909797,,,,,,0.5883440327999999,,0.6193011566,,0.5658168256,,0.5867355613,0.6095910961,,0.7735272085,,0.3935217746,0.7070824162,0.5043574224,,,,0.7027241355,0.0603701745,0.8174158165000001,0.263806184,0.192451815,0.22376732100000002,0.1612353762818663,0.6536592137815256,0.5689461056650906,0.07919999999999999,0.0,0.021372549019607844,0.9918367346,0.902405248,,,0.918918919,1.0,,0.985507246,0.00241105174,0.008233534
2022-08-06,vendor_1,brand_2,category_1,0.672949875,0.3534217754,0.5934209232,0.5153677166,0.6443969679,,,0.6609107757,,0.7174683919,,0.6456794039,0.2933170947,0.6861472276,0.5945035214,0.6906827734,0.6047757456,,0.6689094848,0.4493575516,0.2594033368,0.6910469101,0.7317671613000001,,,0.6450259823000001,0.6860467482999999,0.09487563094000001,0.8639421661,0.2032091236,0.2158850337,0.2352789766,0.6960764972517719,0.7072412557043327,0.5606810716532712,0.18578,2.0,0.12,0.850678733,0.6922132605,0.7258064515,0.5625,0.825918079,0.5625,,0.854950115,0.034308614620000004,0.075374594
2022-08-06,vendor_1,brand_2,category_2,0.6534176521,0.2411354261,0.587277136,0.5551025407,,0.6605592546,0.6045929639,,0.7073744019,,0.7711683576,,0.3059497349,0.6284148122,0.5518473502,0.6750101692,0.5599073969,0.6255582137,0.6108151436,0.4039859482,0.2516767866,,0.7486234722,0.6099668167,0.6132861177,,0.6441035142,0.08272015967,0.8781909093,0.18369187,0.18150457620000002,0.20193116109999998,0.6864931060532093,0.5726340204384633,0.6169224023860563,0.1244033333,3.0,0.05,0.883076923,0.7090140415,0.655172414,0.9545454545,0.7607142855,0.7115384615,,0.854950115,0.034308614620000004,0.048533951
2022-08-06,vendor_2,brand_3,category_1,0.346034696,0.0011061945,,0.4932650683,,,,,,0.5881818182,,0.5466683316000001,,0.6216781656,,0.5754229104,0.5283710734,,0.6216644467,,0.3192912643,0.5911414367,0.6030499188,,,,0.765855753,0.026322351,0.8365079365,0.1289379615,0.231719819,0.1787426225,0.3934398230889001,0.36881022929519847,0.25272390728866007,0.07179333333,0.0,0.020925925925925924,0.8363636364,0.6985930735,0.4166666665,,0.9,1.0,,1.0,0.00081454451,0.001488645
2022-08-06,vendor_2,brand_3,category_2,0.32046208200000004,0.009523408,,0.4734989226,,0.5662478837,,,0.6013754562,,0.6630383254000001,,0.2570538973,0.6616459202,,0.6124719101,0.592670848,0.5280595021,0.6044609051,0.4563286902,0.277141373,,0.6509889859000001,,,,0.8184284945,0.0507146675,0.8875,0.2336237865,0.2714782535,0.273102499,0.6427763280836983,0.45829876425173993,0.5091464405819608,0.05714333333,0.0,,1.0,0.8333333335,0.7447601010090907,,0.75,,,1.0,0.00081454451,0.000146
2022-08-06,vendor_2,brand_4,category_2,0.5199025420000001,0.19006458169999998,0.5755038186,0.4213037271,,0.6004405399,0.7013535826,,0.6176349206,,0.6592888974000001,,0.3271866673,0.6643847553000001,0.5427325203,0.6422842361,0.6594705118,0.5713092063,0.7256881806,0.5091727041,0.3148095578,,0.660153784,0.6806308093,0.6504295171,,0.6224472038,0.09613853547,0.830213619,0.2679598904,0.1976407564,0.2189007612,0.44161818759800464,0.7392361627447751,0.5692192757860693,0.07198,3.0,0.02,0.8108695652,0.637521235,0.625,0.7376567460312501,0.7794249775,0.642857143,0.029880155,0.768361582,0.0074938094600000005,0.025432611
2022-08-06,vendor_3,brand_5,category_1,0.8106738821,0.35059463719999995,0.5441786751,0.3560357824,0.6395416999,,,0.6633872035999999,,,,,0.3987219563,0.6293148541,0.5167808786,0.5980859977,0.6674198996,,0.8003925649999999,0.6183740032,0.4394699431,,0.5932889264,,,0.6174975521,0.5323265259,0.12889357499999998,0.8369932953999999,0.23890515969999998,0.1916740162,0.21080865589999997,0.33332886910310344,0.6458434775365854,0.588303875592188,0.1248366667,3.0,0.16,0.8794117648,0.7600192965,0.7520833335,0.21875,0.8803030305,0.87875,0.049789431,0.798436142,0.03349407012,0.072727332
2022-08-06,vendor_3,brand_6,category_2,0.8739519455,0.4455096195,,0.25967369149999997,,0.8056364118,,,0.8554822359,,0.6998727475,,0.2199833388,0.7882658282,,0.7373213873000001,0.7907782267000001,0.7639855446,0.8900659786999999,0.6743825939,0.2791447796,,0.681836603,,,,0.6908718759999999,0.2428115175,0.8908568775000001,0.5849692065,0.2029965875,0.436455797,0.5189985018354236,1.2005463136496817,0.8512222821936519,0.07082666667,3.0,0.07,0.9421875,0.7732139755,0.5714285715,0.6666666665,0.9158379375,0.722222222,,0.795811518,0.00550632087,0.055750364
2022-08-13,vendor_1,brand_1,category_1,0.8420074339999999,0.11504424699999999,,0.3277433628,,,,,,0.5647340426,,0.6206637168,,0.5275531915,,0.5757079646,0.6017699115,,0.7742035398,,0.3929646018,0.6918085105999999,0.47382978719999996,,,,0.6953642379999999,0.06401766,0.8232931720000001,0.267108167,0.183222958,0.218543046,0.08615710650368506,0.6504506559276341,0.5871702445069599,0.07919999999999999,0.0,0.021372549019607844,0.9238095237999999,0.845011338,,,0.984848485,1.0,,0.922619048,0.005521928430000001,0.008065984
2022-08-13,vendor_1,brand_2,category_1,0.6578938563,0.35411763120000006,0.6157140692,0.5307174587,0.6563264006999999,,,0.6662537387999999,,0.7095604396,,0.6532075472,0.2932237837,0.6896563195000001,0.6016530061,0.69338807,0.6189481779,,0.6779705999,0.462802966,0.2621878418,0.7173626374,0.7304010321,,,0.6649648843,0.6782568548000001,0.09572644874,0.881111663,0.2075858432,0.21434054249999998,0.2443023791,0.7109234847140256,0.6635626606343963,0.5261957840109999,0.18578,4.0,0.09,0.8510460252,0.698588758,0.823529412,0.9285714285,0.807142857,0.497126437,,0.760710554,0.029202506110000002,0.07511889
